data,totalcase,totaldeath

2020-03-01 18:00:00,3,
2020-03-02 18:00:00,5,
2020-03-03 18:00:00,6,
2020-03-04 18:00:00,29,
2020-03-05 18:00:00,30,
2020-03-06 18:00:00,31,
2020-03-07 18:00:00,34,
2020-03-08 18:00:00,39,
2020-03-09 18:00:00,45,
2020-03-10 18:00:00,50,
2020-03-11 17:00:00,71,
2020-03-12 17:00:00,77,
2020-03-13 17:00:00,84,
2020-03-14 17:00:00,96,
2020-03-15 17:00:00,110,
2020-03-16 17:00:00,121,
2020-03-17 17:00:00,142,
2020-03-18 17:00:00,172,
2020-03-19 17:00:00,203,
2020-03-20 17:00:00,253,
2020-03-21 17:00:00,327,
2020-03-22 17:00:00,410,
2020-03-22 17:00:00,475,
