data,totalcase,totaldeath
2020-02-24 18:00:00,229,4
2020-02-25 18:00:00,352,8
2020-02-26 18:00:00,400,9
2020-02-27 18:00:00,650,14
2020-02-28 18:00:00,888,18
2020-02-29 18:00:00,1128,26
2020-03-01 18:00:00,1694,38
2020-03-02 18:00:00,2036,49
2020-03-03 18:00:00,2502,76
2020-03-04 18:00:00,3089,104
2020-03-05 18:00:00,3858,145
2020-03-06 18:00:00,4635,194
2020-03-07 18:00:00,5883,230
2020-03-08 18:00:00,7375,363
2020-03-09 18:00:00,9172,460
2020-03-10 18:00:00,10149,628
2020-03-11 17:00:00,12462,824
2020-03-12 17:00:00,15113,1013
2020-03-13 17:00:00,17660,1263
2020-03-14 17:00:00,21157,1438
2020-03-15 17:00:00,24747,1806
2020-03-16 17:00:00,27980,2155
2020-03-17 17:00:00,29000,2500
2020-03-18 17:00:00,31078,2975
2020-03-19 17:00:00,35678,3402
2020-03-20 17:00:00,42003,4029
2020-03-21 17:00:00,47890,4822
2020-03-22 17:00:00,58765,5473
